#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        92   -3.7450015013e+01    1.4247107571e+03   -7.1512966188e+01    3.4062951176e+01    1.1990256877e+01   -8.3503223065e+01    1.2800000000e+04    2.8246339058e-02    8.3257812500e-01
        93   -3.7173208562e+01    1.3998142185e+03   -6.9832990932e+01    3.2659782370e+01    1.2018963509e+01   -8.1851954441e+01    1.2800000000e+04    2.8256022363e-02    8.3114583333e-01
        94   -3.8099845556e+01    1.5380569494e+03   -7.2858929032e+01    3.4759083476e+01    1.2193045801e+01   -8.5051974833e+01    1.2800000000e+04    2.8265911948e-02    8.3165364583e-01
        95   -3.7408375196e+01    1.4207372053e+03   -7.1611352555e+01    3.4202977358e+01    1.2040149014e+01   -8.3651501569e+01    1.2800000000e+04    2.8250737935e-02    8.3118489583e-01
        96   -3.7232472702e+01    1.4063691462e+03   -7.0995795713e+01    3.3763323010e+01    1.1954747528e+01   -8.2950543240e+01    1.2800000000e+04    2.8263957515e-02    8.3425781250e-01
        97   -3.7334854432e+01    1.4377534614e+03   -7.2609352884e+01    3.5274498453e+01    1.2247923943e+01   -8.4857276827e+01    1.2800000000e+04    2.8252457383e-02    8.3272135417e-01
        98   -3.7640802583e+01    1.4932337761e+03   -7.2191310258e+01    3.4550507675e+01    1.1884982415e+01   -8.4076292673e+01    1.2800000000e+04    2.8255887124e-02    8.3136718750e-01
        99   -3.7406602002e+01    1.4323182607e+03   -7.2785868045e+01    3.5379266043e+01    1.1926341795e+01   -8.4712209840e+01    1.2800000000e+04    2.8241725933e-02    8.3104166667e-01
       100   -3.7630310006e+01    1.4776059547e+03   -7.1376525183e+01    3.3746215177e+01    1.1939927461e+01   -8.3316452644e+01    1.2800000000e+04    2.8264047529e-02    8.3264322917e-01
       101   -3.7234987262e+01    1.4045067593e+03   -7.2443823393e+01    3.5208836132e+01    1.2131866206e+01   -8.4575689599e+01    1.2800000000e+04    2.8208243657e-02    8.3048177083e-01
       102   -3.7458847721e+01    1.4235880160e+03   -7.1913049466e+01    3.4454201745e+01    1.2087269805e+01   -8.4000319271e+01    1.2800000000e+04    2.8244286006e-02    8.3207031250e-01
       103   -3.7380207093e+01    1.4490830512e+03   -7.4128777460e+01    3.6748570368e+01    1.1903067652e+01   -8.6031845112e+01    1.2800000000e+04    2.8206968765e-02    8.3195312500e-01
       104   -3.7676744097e+01    1.5274591827e+03   -7.4530796099e+01    3.6854052002e+01    1.2213556641e+01   -8.6744352740e+01    1.2800000000e+04    2.8220405190e-02    8.2890625000e-01
       105   -3.7187291277e+01    1.4153643298e+03   -7.2148853121e+01    3.4961561843e+01    1.1993178063e+01   -8.4142031184e+01    1.2800000000e+04    2.8266665674e-02    8.3373697917e-01
       106   -3.7532798504e+01    1.4425753110e+03   -7.4233449743e+01    3.6700651239e+01    1.2204231604e+01   -8.6437681347e+01    1.2800000000e+04    2.8227064551e-02    8.2936197917e-01
       107   -3.7570647644e+01    1.4372931989e+03   -7.4419111163e+01    3.6848463519e+01    1.2139473332e+01   -8.6558584495e+01    1.2800000000e+04    2.8259570513e-02    8.2985677083e-01
       108   -3.7378582481e+01    1.4191130601e+03   -7.2102821892e+01    3.4724239412e+01    1.1985866580e+01   -8.4088688473e+01    1.2800000000e+04    2.8300140610e-02    8.3320312500e-01
       109   -3.7686947353e+01    1.5018965412e+03   -7.3762810863e+01    3.6075863510e+01    1.2168434885e+01   -8.5931245748e+01    1.2800000000e+04    2.8240586211e-02    8.3005208333e-01
       110   -3.7479164582e+01    1.4273327080e+03   -7.1242610467e+01    3.3763445885e+01    1.2176150015e+01   -8.3418760481e+01    1.2800000000e+04    2.8244199526e-02    8.3291666667e-01
       111   -3.7839985581e+01    1.6015962028e+03   -7.3271268300e+01    3.5431282719e+01    1.2072559251e+01   -8.5343827551e+01    1.2800000000e+04    2.8290134346e-02    8.3407552083e-01
       112   -3.7531264568e+01    1.4444347270e+03   -7.2837719487e+01    3.5306454919e+01    1.1985122405e+01   -8.4822841892e+01    1.2800000000e+04    2.8302272368e-02    8.3382812500e-01
       113   -3.7716120180e+01    1.5913031062e+03   -7.2920790550e+01    3.5204670370e+01    1.2013177001e+01   -8.4933967551e+01    1.2800000000e+04    2.8264169937e-02    8.3272135417e-01
